# Cluster_id	Cell type
1479	Off parasol
1493	Off parasol
1705	Off parasol
1782	Off parasol
1833	Off parasol
1867	Off parasol
1938	Off parasol
1960	Off parasol
1976	Off parasol
2003	Off parasol
2010	Off parasol
2016	Off parasol
2026	Off parasol
2043	Off parasol
2053	Off parasol
2064	Off parasol
2078	Off parasol
2090	Off parasol
2107	Off parasol
2124	Off parasol
2140	Off parasol
2151	Off parasol
2165	Off parasol
2187	Off parasol
2220	Off parasol
2231	Off parasol
2268	Off parasol
2272	Off parasol
2297	Off parasol
2322	Off parasol
2338	Off parasol
2397	On parasol
2437	On parasol
2476	On parasol
2499	On parasol
2526	On parasol
2556	On parasol
2582	On parasol
2600	On parasol
2624	On parasol
3774	On parasol
3831	On parasol
3845	On parasol
3862	On parasol
3868	On parasol
3887	On parasol
3897	On parasol
3946	On parasol
3953	On parasol
